"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"3582","Guarea kunthiana","diameter at breast height (1.3 m)","149","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12727430
"3583","Hieronyma alchorneoides","diameter at breast height (1.3 m)","30","cm",NA,-3.48333,-78.2333,NA,NA,"James S. MIller",NA,"public",13171057
"3584","Laetia procera","whole plant growth form","tree",NA,NA,-12.7193,-68.8058,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13336188
"3585","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13380213
"3586","Laetia procera","whole plant growth form","tree",NA,NA,-12.386,-68.7941,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13398482
"3587","Trema micrantha","whole plant growth form","tree",NA,NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",13404438
"3588","Vismia baccifera","whole plant height","0","m",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14176618
"3589","Trema micrantha","leaf nitrogen content per leaf dry mass","29","mg.g-1",NA,-15.783,-62.917,500,"http://datadryad.org/resource/doi:10.5061/dryad.j42m7.2","Maire V","vmaire@gmail.com","public",14860125
"3590","Avicennia germinans","whole plant height","4.8768","m",NA,27.148509,-80.153097,NA,NA,"Greg Reams",NA,"public",19573518
"3591","Laetia procera","diameter at breast height (1.3 m)","18.4","cm",NA,10.4025655739943,-84.0373327448245,NA,NA,"VG-VB-9",NA,"public",10412446
"3592","Laetia procera","diameter at breast height (1.3 m)","18.7","cm",NA,10.4165038973473,-84.0200055998042,NA,NA,"VG-VB-9",NA,"public",25166546
"3593","Croton schiedeanus","diameter at breast height (1.3 m)","38","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",24132162
"3594","Croton schiedeanus","diameter at breast height (1.3 m)","0","cm",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",5195401
"3595","Pausandra trianae","diameter at breast height (1.3 m)","7.8","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",5758982
"3596","Pausandra trianae","diameter at breast height (1.3 m)","2.8","cm",NA,-12.2829,-69.2804,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7000816
"3597","Pausandra trianae","diameter at breast height (1.3 m)","9","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",8133733
"3598","Hieronyma alchorneoides","diameter at breast height (1.3 m)","0","cm",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",8470616
"3599","Trema micrantha","diameter at breast height (1.3 m)","10.5","cm",NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",11778846
"3600","Croton schiedeanus","diameter at breast height (1.3 m)","9","cm",NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",11868238
"3601","Pausandra trianae","diameter at breast height (1.3 m)","8.5","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12980827
"3602","Laetia procera","diameter at breast height (1.3 m)","10.2","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",12913649
"3603","Pausandra trianae","diameter at breast height (1.3 m)","5.7","cm",NA,-12.0411,-69.1056,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12926672
"3604","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13090869
"3605","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,18.598,-95.096,NA,NA,"James S. MIller",NA,"public",13239653
"3606","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13441868
"3607","Vismia baccifera","whole plant height","0","m",NA,10.4554,-84.0659,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13652540
"3608","Laetia procera","whole plant height","0","m",NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14011252
"3609","Laetia procera","whole plant height","0","m",NA,10.4304,-84.0167,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14438028
"3610","Croton schiedeanus","whole plant height","0","m",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14446675
"3611","Laetia procera","leaf dry mass per leaf fresh mass","424.8","mg.g-1",NA,9.15,-79.85,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",15749637
"3612","Laetia procera","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",17619061
"3613","Avicennia germinans","diameter at breast height (1.3 m)","2.54","cm",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",18225536
"3614","Avicennia germinans","diameter at breast height (1.3 m)","2.794","cm",NA,27.559864,-82.616093,NA,NA,"Greg Reams",NA,"public",18730873
"3615","Trema micrantha","whole plant height","4.572","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",20983668
"3616","Hasseltia floribunda","diameter at breast height (1.3 m)","5000.5","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",22883455
"3617","Avicennia germinans","diameter at breast height (1.3 m)","4.318","cm",NA,25.909145,-81.654564,NA,NA,"Greg Reams",NA,"public",26028075
"3618","Avicennia germinans","diameter at breast height (1.3 m)","4.826","cm",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",26788306
"3619","Croton schiedeanus","minimum fruit length","9","mm",NA,NA,NA,NA,NA,NA,NA,"public",2031939
"3620","Trema micrantha","stem wood density","0.4","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",15618702
"3621","Croton schiedeanus","diameter at breast height (1.3 m)","11.6","cm",NA,10.3450959290585,-84.0575642842658,NA,NA,"VG-VB-9",NA,"public",24620592
"3622","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.3904,-84.1286,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",3281672
"3623","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",2830276
"3624","Laetia procera","diameter at breast height (1.3 m)","0","cm",NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",3731633
"3625","Avicennia germinans","whole plant height","10.668","m",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",3797224
"3626","Guarea kunthiana","whole plant growth form","tree",NA,NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13274896
"3627","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0321,-69.1042,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13243360
"3628","Croton schiedeanus","diameter at breast height (1.3 m)","14.6","cm",NA,10.3328,-84.0789,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",13062210
"3629","Laetia procera","whole plant growth form","tree",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13304327
"3630","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0321,-69.1042,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13319599
"3631","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.2979,-69.2746,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13441189
"3632","Pausandra trianae","whole plant growth form","tree",NA,NA,-3.43333,-72.85,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13443539
"3633","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",13458555
"3634","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",13458556
"3635","Avicennia germinans","whole plant height","9.7536","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",19306035
"3636","Laetia procera","diameter at breast height (1.3 m)","5000.5","cm",NA,9.3229599,-79.96209717,NA,NA,"Richard Condit",NA,"public",25866159
"3637","Croton schiedeanus","diameter at breast height (1.3 m)","13.2","cm",NA,10.345525626501,-84.0577175765825,NA,NA,"VG-VB-9",NA,"public",18439862
"3638","Hieronyma alchorneoides","maximum leaf width","25","cm",NA,NA,NA,NA,NA,NA,NA,"public",1734973
"3639","Pausandra trianae","plant flowering duration","1,2,3,4,12","month",NA,NA,NA,NA,NA,NA,NA,"public",2035167
"3640","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",2385778
"3641","Avicennia germinans","whole plant height","11.2776","m",NA,25.965455,-81.677056,NA,NA,"Greg Reams",NA,"public",3190571
"3642","Guarea kunthiana","diameter at breast height (1.3 m)","8","cm",NA,2.26667,-76.2,NA,NA,"James S. MIller",NA,"public",12157710
"3643","Pausandra trianae","diameter at breast height (1.3 m)","8.2","cm",NA,-12.3851,-69.3067,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",4633235
"3644","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",7564968
"3645","Pausandra trianae","diameter at breast height (1.3 m)","15","cm",NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7905938
"3646","Trema micrantha","whole plant height","7.3152","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",8829154
"3647","Pausandra trianae","diameter at breast height (1.3 m)","167","cm",NA,-3.23333,-72.9,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12158459
"3648","Laetia procera","diameter at breast height (1.3 m)","49","cm",NA,10.4333,-84.0167,NA,NA,"James S. MIller",NA,"public",12469714
"3649","Pausandra trianae","diameter at breast height (1.3 m)","119","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12865716
"3650","Pausandra trianae","diameter at breast height (1.3 m)","119","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12865717
"3651","Hasseltia floribunda","diameter at breast height (1.3 m)","4","cm",NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",13182848
"3652","Pausandra trianae","diameter at breast height (1.3 m)","4.4","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13225781
"3653","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13347831
"3654","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0411,-69.1056,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13382044
"3655","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4297,-69.2908,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13415051
"3656","Laetia procera","whole plant growth form","tree",NA,NA,10.4143,-84.1045,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13445716
"3657","Guarea kunthiana","whole plant growth form","tree",NA,NA,-12.6509,-68.7401,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13455626
"3658","Laetia procera","whole plant height","0","m",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14097954
"3659","Laetia procera","whole plant height","28","m","max height",9.15,-79.85,NA,"http://datadryad.org/resource/doi:10.5061/dryad.d87v7","Letcher SG","susan.letcher@purchase.edu","public",15749635
"3660","Laetia procera","diameter at breast height (1.3 m)","5005","cm",NA,9.124699593,-79.90480042,NA,NA,"Richard Condit",NA,"public",18115543
"3661","Hasseltia floribunda","diameter at breast height (1.3 m)","5005","cm",NA,9.086520195,-79.64240265,NA,NA,"Richard Condit",NA,"public",18427244
"3662","Vismia baccifera","diameter at breast height (1.3 m)","5005","cm",NA,9.151249886,-79.8553009,NA,NA,"Richard Condit",NA,"public",18488031
"3663","Croton schiedeanus","diameter at breast height (1.3 m)","21.6","cm",NA,10.2678697806,-84.0552816144,NA,NA,"VG-VB-9",NA,"public",16045553
"3664","Laetia procera","stem wood density","0.75","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",15296383
"3665","Croton schiedeanus","diameter at breast height (1.3 m)","12.4","cm",NA,10.3167431760818,-84.0468609566593,NA,NA,"VG-VB-9",NA,"public",24271929
"3666","Laetia procera","fruit type","Capsule",NA,NA,NA,NA,NA,NA,NA,NA,"public",15896627
"3667","Laetia procera","diameter at breast height (1.3 m)","69.8","cm",NA,-1.73408,-51.51098,NA,NA,"VG-CAX-1",NA,"public",16141958
"3668","Laetia procera","diameter at breast height (1.3 m)","26.6","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",10368976
"3669","Pausandra trianae","diameter at breast height (1.3 m)","4.2","cm",NA,-12.391,-69.3078,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",2386303
"3670","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-3.48333,-78.2333,NA,NA,"James S. MIller",NA,"public",3501494
"3671","Avicennia germinans","whole plant height","8.8392","m",NA,25.909145,-81.654564,NA,NA,"Greg Reams",NA,"public",3909418
"3672","Trema micrantha","whole plant height","4.572","m",NA,17.746033,-64.643715,NA,NA,"Greg Reams",NA,"public",6185051
"3673","Hasseltia floribunda","diameter at breast height (1.3 m)","2.5","cm",NA,-5.75,-77.6667,NA,NA,"James S. MIller",NA,"public",6324839
"3674","Pausandra trianae","diameter at breast height (1.3 m)","5.2","cm",NA,-12.4574,-69.2024,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",7000763
"3675","Pausandra trianae","diameter at breast height (1.3 m)","9.4","cm",NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11038257
"3676","Guarea kunthiana","diameter at breast height (1.3 m)","8.2","cm",NA,-12.6485,-68.7432,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12994552
"3677","Pausandra trianae","diameter at breast height (1.3 m)","4.3","cm",NA,-12.391,-69.3078,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12865283
"3678","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-12.4706,-68.8016,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13328777
"3679","Pausandra trianae","whole plant growth form","tree",NA,NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13357846
"3680","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13406695
"3681","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",13431428
"3682","Hasseltia floribunda","whole plant growth form","tree",NA,NA,9.58,-84.577,NA,NA,"James S. MIller",NA,"public",13458529
"3683","Vismia baccifera","whole plant height","0","m",NA,10.4329,-83.9864,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",14507962
"3684","Trema micrantha","leaf area per leaf dry mass","18.05492537","m2.kg-1","area/dry mass (Cornelissen et al. 2003)",9.37813,-84.14678,NA,"www.amjbot.org/content/suppl/2012/11/07/ajb.1200062.DC1/Blonder_AppS1A_observational_data.csv","Benjamin Blonder","bblonder@gmail.com","public",15619430
"3685","Trema micrantha","whole plant height","5.1816","m",NA,17.750048,-64.833531,NA,NA,"Greg Reams",NA,"public",16497790
"3686","Avicennia germinans","whole plant height","15.8496","m",NA,26.003054,-81.719677,NA,NA,"Greg Reams",NA,"public",20646149
"3687","Croton schiedeanus","diameter at breast height (1.3 m)","11.4","cm",NA,10.3450959290585,-84.0575642842658,NA,NA,"VG-VB-9",NA,"public",25058693
"3688","Hieronyma alchorneoides","whole plant growth form","Tree",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",14671120
"3689","Laetia procera","diameter at breast height (1.3 m)","30.6","cm",NA,-11.904708,-71.4024744,NA,NA,"Patricia Alvarez-Loayza",NA,"public",16043229
"3690","Acalypha diversifolia","minimum leaf width","2.5","cm",NA,NA,NA,NA,NA,NA,NA,"public",1735822
"3691","Croton schiedeanus","diameter at breast height (1.3 m)","12","cm",NA,10.3450959290585,-84.0575642842658,NA,NA,"VG-VB-9",NA,"public",10393517
"3692","Trema micrantha","diameter at breast height (1.3 m)","17.272","cm",NA,18.370414,-66.525505,NA,NA,"Greg Reams",NA,"public",1787560
"3693","Pausandra trianae","diameter at breast height (1.3 m)","4","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",4181953
"3694","Laetia procera","diameter at breast height (1.3 m)","20.8","cm",NA,10.4115,-84.0314,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4523542
"3695","Hasseltia floribunda","diameter at breast height (1.3 m)","20.6","cm",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",7113630
"3696","Avicennia germinans","whole plant height","8.5344","m",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",8552425
"3697","Laetia procera","diameter at breast height (1.3 m)","2.5","cm",NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",8696819
"3698","Guarea kunthiana","diameter at breast height (1.3 m)","21.5","cm",NA,-12.4829,-69.224,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",9600435
"3699","Hasseltia floribunda","diameter at breast height (1.3 m)","10","cm",NA,9.58,-84.577,NA,NA,"James S. MIller",NA,"public",10870455
"3700","Guarea kunthiana","diameter at breast height (1.3 m)","3","cm",NA,-4.53333,-79.7333,NA,NA,"James S. MIller",NA,"public",12951667
"3701","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",13171152
"3702","Trema micrantha","diameter at breast height (1.3 m)","105","cm",NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13185474
"3703","Pausandra trianae","diameter at breast height (1.3 m)","4.9","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13225783
"3704","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.0321,-69.1042,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13337893
"3705","Laetia procera","whole plant growth form","tree",NA,NA,10.4,-84.05,NA,NA,"James S. MIller",NA,"public",13344577
"3706","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.2979,-69.2746,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13361803
"3707","Vismia baccifera","whole plant growth form","tree",NA,NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13401021
"3708","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13405150
"3709","Croton schiedeanus","whole plant growth form","tree",NA,NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13440094
"3710","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,-12.1808,-69.1305,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13460819
"3711","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.4808,-69.3853,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13473827
"3712","Croton schiedeanus","whole plant height","0","m",NA,10.4568,-84.0631,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13959016
"3713","Avicennia germinans","diameter at breast height (1.3 m)","28.956","cm",NA,26.003054,-81.719677,NA,NA,"Greg Reams",NA,"public",16291564
"3714","Trema micrantha","diameter at breast height (1.3 m)","2.794","cm",NA,17.711388,-64.722668,NA,NA,"Greg Reams",NA,"public",23963205
"3715","Laetia procera","diameter at breast height (1.3 m)","16.8","cm",NA,10.4026892143355,-84.0374213784905,NA,NA,"VG-VB-9",NA,"public",25513187
"3716","Acalypha diversifolia","diameter at breast height (1.3 m)","5000.5","cm",NA,9.168299675,-79.74639893,NA,NA,"Richard Condit",NA,"public",26884822
"3717","Pausandra trianae","diameter at breast height (1.3 m)","17","cm",NA,10.3161309016393,-84.0467293048772,NA,NA,"VG-VB-9",NA,"public",24394137
"3718","Croton schiedeanus","leaf nitrogen content per leaf dry mass","19.8","mg.g-1","Canopy N% was estimated with the Carnegie Airborne Observatory Airborne Taxonomic Mapping System (CAO-AToMs) onboard a Dornier 228 Aircraft. The sensor configuration used consisted of a high-fidelity imaging spectrometer (HiFIS) and a dual laser, waveform light detection and ranging (LiDAR) sensor.",NA,NA,50,"http://datadryad.org/resource/doi:10.5061/dryad.ck585","Balzotti CS","cbalzotti@carnegiescience.edu","public",15167384
"3719","Hasseltia floribunda","diameter at breast height (1.3 m)","5000.5","cm",NA,9.156499863,-79.74420166,NA,NA,"Richard Condit",NA,"public",1742518
"3720","Croton schiedeanus","diameter at breast height (1.3 m)","2.5","cm",NA,10.4565,-84.0681,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",4403490
"3721","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",7452370
"3722","Guarea kunthiana","whole plant growth form","tree",NA,NA,11.1333,-74.0167,NA,NA,"James S. MIller",NA,"public",13279212
"3723","Croton schiedeanus","diameter at breast height (1.3 m)","9","cm",NA,18.598,-95.096,NA,NA,"James S. MIller",NA,"public",11405037
"3724","Trema micrantha","diameter at breast height (1.3 m)","19.5","cm",NA,-14.9167,-67.0833,NA,NA,"Tim Killeen",NA,"public",11778845
"3725","Pausandra trianae","diameter at breast height (1.3 m)","5.6","cm",NA,-12.1315,-69.1061,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12800902
"3726","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",13117310
"3727","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13273476
"3728","Laetia procera","whole plant growth form","tree",NA,NA,10.4054,-84.1211,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13278747
"3729","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13295253
"3730","Laetia procera","whole plant growth form","tree",NA,NA,-12.6257,-68.7535,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13317773
"3731","Trema micrantha","whole plant growth form","tree",NA,NA,-12.5,-68.95,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13447210
"3732","Laetia procera","whole plant height","0","m",NA,10.4304,-84.0167,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13976316
"3733","Hasseltia floribunda","whole plant height","14","m",NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",14018222
"3734","Guarea kunthiana","leaf nitrogen content per leaf dry mass","27.4","mg.g-1","Average leaf nitrogen content measured from shade-grown whole leaves or leaflets, reported on a mass basis",-0.6833333,-76.03333,NA,"doi:10.1890/09-1672.1","Nathan Kraft","nkraft@biodiversity.ubc.ca","public",15881717
"3735","Avicennia germinans","diameter at breast height (1.3 m)","14.224","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",16468616
"3736","Avicennia germinans","whole plant height","7.62","m",NA,25.909145,-81.654564,NA,NA,"Greg Reams",NA,"public",18966277
"3737","Laetia procera","stem wood density","0.54","g.cm-3",NA,NA,NA,NA,"http://datadryad.org/resource/doi:10.5061/dryad.234","Lopez-Gonzalez G","G.Lopez-Gonzalez@leeds.ac.uk","public",15887603
"3738","Vismia baccifera","diameter at breast height (1.3 m)","12.4","cm",NA,10.2403425582,-84.0850028149,NA,NA,"VG-VB-9",NA,"public",10382349
"3739","Laetia procera","diameter at breast height (1.3 m)","25","cm",NA,10.3456620117176,-84.0577790140333,NA,NA,"VG-VB-9",NA,"public",24131487
"3740","Laetia procera","whole plant growth form","Tree",NA,NA,NA,NA,NA,NA,NA,NA,"public",2061520
"3741","Croton schiedeanus","diameter at breast height (1.3 m)","20","cm",NA,10.3167688023045,-84.046973812391,NA,NA,"VG-VB-9",NA,"public",25532806
"3742","Laetia procera","diameter at breast height (1.3 m)","5000.5","cm",NA,9.3582201,-79.74810028,NA,NA,"Richard Condit",NA,"public",2875841
"3743","Pausandra trianae","diameter at breast height (1.3 m)","4.5","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",4522930
"3744","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",13418458
"3745","Avicennia germinans","whole plant height","6.7056","m",NA,25.927003,-81.588437,NA,NA,"Greg Reams",NA,"public",6890889
"3746","Laetia procera","diameter at breast height (1.3 m)","43.3","cm",NA,-12.7193,-68.8058,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",8133964
"3747","Acalypha diversifolia","diameter at breast height (1.3 m)","8.5","cm",NA,-12.6949,-69.1165,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",9940877
"3748","Laetia procera","diameter at breast height (1.3 m)","6.1","cm",NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",10150049
"3749","Hieronyma alchorneoides","whole plant growth form","tree",NA,NA,-3.48333,-78.2333,NA,NA,"James S. MIller",NA,"public",13295979
"3750","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3393,-69.2528,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13460992
"3751","Avicennia germinans","diameter at breast height (1.3 m)","13.716","cm",NA,18.447325,-65.964736,NA,NA,"Greg Reams",NA,"public",24390858
"3752","Croton schiedeanus","diameter at breast height (1.3 m)","14.1","cm",NA,10.3161939461675,-84.0472772110221,NA,NA,"VG-VB-9",NA,"public",25129042
"3753","Trema micrantha","whole plant growth form","Tree",NA,"Species with multiple growth form classifications were assigned the growth form classification agreed upon by the majority (>2/3) of sources. Species with ambiguous or otherwise not interpretable growth form assignments were excluded from the final dataset but are made available with the original data.",NA,NA,NA,"http://onlinelibrary.wiley.com/doi/10.1002/ecy.1569/abstract","Engemann, K","engemann@bios.au.dk","public",14731743
"3754","Trema micrantha","plant flowering duration","4,5,6,7,10","month",NA,NA,NA,NA,NA,NA,NA,"public",2035924
